issue_key,summary,status,priority,assignee,module,created,updated,resolutiondate,story_points,labels,customfield_10001
BUG-001,登录崩溃,In Progress,Medium,zhaoliu,Auth,2024-03-25,2024-03-25,,5,"performance,functional",
BUG-002,登录卡顿,Closed,Critical,chenni,Media,2024-03-19,2024-03-19,,2,"functional,crash,performance",
BUG-003,相册崩溃,In Progress,Medium,zhaoliu,Auth,2024-03-25,2024-03-27,,8,"ui_bug,regression",
BUG-004,相册卡顿,Closed,Medium,wangwu,Gallery,2024-03-04,2024-03-06,2024-03-06,5,"hardware,ui_bug",MP_Block
BUG-005,视频卡顿,Resolved,Blocker,wangwu,Camera,2024-03-04,2024-03-04,2024-03-06,8,crash,
BUG-006,登录异常,In Progress,Critical,chenni,Audio,2024-03-20,2024-03-22,,5,ui_bug,
BUG-007,相册延迟,Resolved,Medium,lisi,Gallery,2024-03-22,2024-03-25,2024-03-30,3,hardware,
BUG-008,UI崩溃,In Progress,Low,wangwu,Media,2024-03-04,2024-03-04,,5,hardware,快稳省
BUG-009,摄像头无声,Resolved,Low,wangwu,Media,2024-03-06,2024-03-06,2024-03-08,8,"ui_bug,hardware,performance",
BUG-010,录音崩溃,Closed,High,lisi,Gallery,2024-03-18,2024-03-20,2024-03-21,2,"crash,performance",
BUG-011,录音闪退,In Progress,Medium,zhaoliu,Media,2024-03-10,2024-03-11,,3,"performance,hardware,ui_bug",
BUG-012,视频模糊,In Progress,High,lisi,Gallery,2024-03-16,2024-03-18,2024-03-18,3,performance,快稳省
BUG-013,登录无声,In Progress,Medium,wangwu,Algorithm,2024-03-22,2024-03-23,,1,"performance,regression",
BUG-014,相册无声,In Progress,High,lisi,Algorithm,2024-03-06,2024-03-07,2024-03-07,3,"crash,ui_bug",
BUG-015,摄像头模糊,In Progress,Medium,zhaoliu,Algorithm,2024-03-09,2024-03-12,,3,"functional,crash",快稳省
BUG-016,登录崩溃,In Progress,Blocker,chenni,UI,2024-03-15,2024-03-18,,1,"ui_bug,functional,regression",
BUG-017,摄像头崩溃,Resolved,Critical,zhangsan,Algorithm,2024-03-16,2024-03-17,2024-03-19,5,"crash,regression,ui_bug",
BUG-018,视频闪退,Resolved,Critical,zhangsan,Algorithm,2024-03-03,2024-03-04,2024-03-06,1,"performance,crash,functional",快稳省
BUG-019,登录闪退,Resolved,Low,zhaoliu,Algorithm,2024-03-11,2024-03-11,2024-03-16,1,hardware,
BUG-020,UI卡顿,Closed,Low,zhangsan,UI,2024-03-16,2024-03-17,2024-03-21,5,functional,
BUG-021,视频闪退,Resolved,Low,lisi,Auth,2024-03-07,2024-03-07,2024-03-12,5,"functional,regression",
BUG-022,视频模糊,Resolved,High,chenni,Camera,2024-03-22,2024-03-24,2024-03-25,3,"performance,regression",
BUG-023,摄像头崩溃,In Progress,Critical,lisi,Algorithm,2024-03-23,2024-03-23,,5,"functional,crash,performance",
BUG-024,UI卡顿,In Review,Medium,chenni,Gallery,2024-03-17,2024-03-17,,5,"regression,hardware",
BUG-025,摄像头异常,Closed,Medium,zhangsan,Auth,2024-03-21,2024-03-23,2024-03-28,8,"crash,functional,regression",
BUG-026,算法模糊,In Progress,Medium,lisi,Algorithm,2024-03-15,2024-03-17,,2,"regression,functional,hardware",
BUG-027,摄像头异常,Open,Medium,lisi,Camera,2024-03-15,2024-03-17,,8,"crash,regression,ui_bug",快稳省
BUG-028,录音闪退,Resolved,Medium,lisi,Algorithm,2024-03-25,2024-03-25,2024-03-30,3,"ui_bug,regression",
BUG-029,录音无声,Open,Critical,zhaoliu,Auth,2024-03-23,2024-03-24,,8,"performance,hardware",
BUG-030,摄像头模糊,In Progress,Blocker,zhaoliu,Auth,2024-03-20,2024-03-23,,2,"crash,regression",
BUG-031,UI闪退,Resolved,Critical,zhaoliu,Gallery,2024-03-17,2024-03-19,2024-03-20,3,functional,
BUG-032,登录卡顿,Closed,Critical,wangwu,Gallery,2024-03-08,2024-03-09,,3,"regression,functional",
BUG-033,UI闪退,Open,Low,lisi,Algorithm,2024-03-18,2024-03-21,,8,"hardware,functional,performance",MP_Block
BUG-034,摄像头闪退,In Review,Medium,chenni,Algorithm,2024-03-20,2024-03-20,,5,hardware,
BUG-035,算法模糊,In Progress,High,zhangsan,Algorithm,2024-03-12,2024-03-13,,5,functional,
BUG-036,UI延迟,In Progress,Critical,zhaoliu,Media,2024-03-03,2024-03-06,,1,functional,
BUG-037,视频模糊,In Review,Medium,zhaoliu,Gallery,2024-03-22,2024-03-25,,8,"ui_bug,crash",
BUG-038,登录闪退,In Review,Critical,zhangsan,Camera,2024-03-10,2024-03-13,,2,performance,
BUG-039,录音异常,Closed,Medium,wangwu,Media,2024-03-18,2024-03-20,2024-03-21,8,hardware,
BUG-040,摄像头延迟,In Review,Critical,wangwu,Gallery,2024-03-11,2024-03-11,,2,hardware,
BUG-041,登录崩溃,Open,Critical,zhaoliu,Auth,2024-03-21,2024-03-21,,1,functional,
BUG-042,UI异常,In Review,Critical,zhangsan,Camera,2024-03-25,2024-03-28,,8,"performance,crash",
BUG-043,登录异常,Resolved,Blocker,lisi,Algorithm,2024-03-07,2024-03-10,2024-03-11,1,"crash,hardware",
BUG-044,摄像头异常,Open,High,zhangsan,Algorithm,2024-03-22,2024-03-25,,5,performance,
BUG-045,相册模糊,In Progress,Low,lisi,Gallery,2024-03-25,2024-03-26,,8,"performance,hardware,functional",
BUG-046,摄像头崩溃,Open,Blocker,wangwu,Camera,2024-03-12,2024-03-14,,1,"functional,performance,regression",
BUG-047,录音卡顿,Closed,High,lisi,Algorithm,2024-03-21,2024-03-22,2024-03-22,1,"functional,crash",
BUG-048,录音崩溃,In Review,Critical,zhaoliu,Algorithm,2024-03-12,2024-03-12,,3,performance,
BUG-049,登录无声,Resolved,High,zhaoliu,UI,2024-03-25,2024-03-25,2024-03-27,2,"ui_bug,regression",
BUG-050,登录闪退,Closed,Medium,chenni,UI,2024-03-18,2024-03-21,2024-03-24,3,functional,
BUG-051,摄像头异常,Closed,Blocker,chenni,Camera,2024-03-14,2024-03-16,2024-03-18,2,"regression,hardware,ui_bug",
BUG-052,算法异常,In Progress,Blocker,lisi,Gallery,2024-03-16,2024-03-19,,1,ui_bug,
BUG-053,算法闪退,Open,Blocker,chenni,Audio,2024-03-14,2024-03-15,,3,crash,快稳省
BUG-054,相册闪退,Open,Blocker,lisi,Auth,2024-03-22,2024-03-24,,2,functional,
BUG-055,UI模糊,Closed,Blocker,zhaoliu,UI,2024-03-14,2024-03-17,2024-03-18,3,"crash,regression",
BUG-056,摄像头异常,In Progress,Blocker,zhaoliu,Audio,2024-03-11,2024-03-13,,1,"regression,hardware",
BUG-057,相册无声,In Progress,High,lisi,Gallery,2024-03-14,2024-03-15,,1,functional,
BUG-058,算法崩溃,Open,Low,zhangsan,Audio,2024-03-15,2024-03-16,,8,"performance,crash",MP_Block
BUG-059,摄像头异常,In Review,Medium,wangwu,Media,2024-03-22,2024-03-25,,8,"performance,hardware",
BUG-060,录音崩溃,Resolved,Blocker,zhangsan,Audio,2024-03-02,2024-03-04,2024-03-06,2,"hardware,crash",
BUG-061,相册闪退,Closed,Blocker,zhaoliu,Auth,2024-03-17,2024-03-18,,3,ui_bug,
BUG-062,视频无声,Open,High,wangwu,Gallery,2024-03-18,2024-03-21,,1,ui_bug,快稳省
BUG-063,相册卡顿,Resolved,Blocker,wangwu,Camera,2024-03-09,2024-03-11,2024-03-12,8,"regression,functional,hardware",
BUG-064,录音延迟,Open,Low,chenni,Algorithm,2024-03-16,2024-03-16,,3,ui_bug,
BUG-065,登录崩溃,Resolved,Low,zhangsan,Gallery,2024-03-10,2024-03-11,2024-03-14,8,"hardware,crash",
BUG-066,视频无声,Open,Blocker,lisi,Algorithm,2024-03-14,2024-03-16,,1,"ui_bug,performance,regression",
BUG-067,视频延迟,Open,Low,wangwu,Algorithm,2024-03-11,2024-03-12,,3,"regression,hardware",
BUG-068,摄像头闪退,Resolved,Blocker,wangwu,Media,2024-03-24,2024-03-27,2024-03-29,8,"ui_bug,performance,crash",
BUG-069,视频闪退,Closed,Medium,chenni,Algorithm,2024-03-02,2024-03-05,2024-03-09,5,"ui_bug,hardware",
BUG-070,视频崩溃,Resolved,Blocker,chenni,Algorithm,2024-03-23,2024-03-23,2024-03-25,8,crash,
BUG-071,摄像头卡顿,Open,Critical,wangwu,Gallery,2024-03-20,2024-03-23,,5,performance,
BUG-072,录音延迟,In Progress,Critical,wangwu,Audio,2024-03-07,2024-03-08,,3,"regression,functional",
BUG-073,算法闪退,In Review,Blocker,zhangsan,Camera,2024-03-02,2024-03-03,,3,"ui_bug,functional,hardware",
BUG-074,UI闪退,In Progress,Critical,zhaoliu,Auth,2024-03-10,2024-03-10,,8,"hardware,performance",
BUG-075,登录卡顿,Open,Critical,zhangsan,Algorithm,2024-03-17,2024-03-17,,3,crash,
BUG-076,UI崩溃,Closed,Critical,wangwu,Audio,2024-03-22,2024-03-24,,5,"regression,ui_bug",
BUG-077,视频模糊,In Progress,Low,wangwu,Algorithm,2024-03-25,2024-03-26,,5,"performance,regression",
BUG-078,视频异常,Resolved,Critical,wangwu,Gallery,2024-03-10,2024-03-13,2024-03-14,1,"hardware,functional",
BUG-079,相册模糊,Open,High,wangwu,Camera,2024-03-18,2024-03-21,,8,regression,
BUG-080,视频延迟,Closed,Medium,chenni,Algorithm,2024-03-16,2024-03-18,2024-03-18,3,"regression,hardware,ui_bug",
BUG-081,视频延迟,Resolved,Low,lisi,Algorithm,2024-03-19,2024-03-20,2024-03-25,5,"functional,performance,hardware",
BUG-082,摄像头异常,Open,Critical,wangwu,UI,2024-03-04,2024-03-04,,3,ui_bug,
BUG-083,相册模糊,In Progress,Blocker,wangwu,Gallery,2024-03-07,2024-03-07,,1,"regression,performance",
BUG-084,UI闪退,In Progress,Low,lisi,Media,2024-03-07,2024-03-09,,3,hardware,
BUG-085,算法异常,In Progress,Blocker,chenni,Audio,2024-03-08,2024-03-09,,5,"performance,functional,hardware",
BUG-086,摄像头模糊,Resolved,Low,zhaoliu,Media,2024-03-03,2024-03-06,2024-03-09,8,ui_bug,快稳省
BUG-087,视频无声,Resolved,Critical,chenni,Auth,2024-03-07,2024-03-10,2024-03-12,1,"functional,ui_bug",
BUG-088,算法卡顿,Closed,Low,chenni,Algorithm,2024-03-24,2024-03-26,2024-03-26,8,"regression,ui_bug",
BUG-089,相册闪退,In Progress,High,lisi,Auth,2024-03-23,2024-03-26,,3,"ui_bug,regression,performance",MP_Block
BUG-090,相册卡顿,In Progress,High,zhaoliu,Algorithm,2024-03-22,2024-03-24,,5,regression,
BUG-091,录音崩溃,Open,High,zhaoliu,Camera,2024-03-04,2024-03-05,,8,performance,
BUG-092,摄像头闪退,Open,Critical,lisi,Media,2024-03-21,2024-03-21,,1,"regression,functional,hardware",
BUG-093,摄像头闪退,Open,Blocker,zhaoliu,Algorithm,2024-03-09,2024-03-11,,8,"functional,hardware,regression",
BUG-094,相册卡顿,In Progress,High,zhaoliu,Camera,2024-03-12,2024-03-14,,2,"performance,crash,functional",
BUG-095,摄像头无声,Open,Critical,wangwu,Camera,2024-03-10,2024-03-13,,2,ui_bug,MP_Block
BUG-096,相册闪退,Resolved,Blocker,lisi,Auth,2024-03-10,2024-03-12,2024-03-14,1,"ui_bug,hardware",
BUG-097,算法延迟,In Progress,Medium,wangwu,Media,2024-03-25,2024-03-26,,5,"functional,ui_bug,performance",
BUG-098,相册崩溃,In Progress,Low,wangwu,UI,2024-03-04,2024-03-07,,1,hardware,
BUG-099,登录卡顿,In Progress,Low,chenni,Camera,2024-03-15,2024-03-16,,3,"ui_bug,hardware,performance",
BUG-100,UI模糊,In Review,Medium,chenni,Media,2024-03-16,2024-03-19,,5,hardware,MP_Block
BUG-101,录音卡顿,In Review,Critical,chenni,Media,2024-03-20,2024-03-20,,1,"functional,ui_bug,crash",
BUG-102,录音闪退,Resolved,Low,zhangsan,Algorithm,2024-03-17,2024-03-18,2024-03-21,1,"functional,hardware",
BUG-103,相册延迟,In Progress,Low,wangwu,Algorithm,2024-03-20,2024-03-23,,1,hardware,
BUG-104,录音异常,In Progress,Medium,zhaoliu,Algorithm,2024-03-25,2024-03-25,,8,hardware,
BUG-105,登录模糊,In Review,High,lisi,Camera,2024-03-01,2024-03-02,,2,hardware,
BUG-106,录音延迟,Resolved,Low,zhangsan,Algorithm,2024-03-21,2024-03-23,2024-03-23,8,"hardware,ui_bug,functional",
BUG-107,录音模糊,In Review,Critical,zhangsan,Media,2024-03-22,2024-03-24,,8,"ui_bug,regression,crash",
BUG-108,相册模糊,Open,Critical,zhaoliu,Audio,2024-03-08,2024-03-11,,5,regression,MP_Block
BUG-109,相册延迟,In Review,High,chenni,Camera,2024-03-17,2024-03-20,,8,"hardware,performance",
BUG-110,相册崩溃,Resolved,Low,zhaoliu,UI,2024-03-16,2024-03-17,2024-03-19,8,"hardware,crash",
BUG-111,视频异常,Closed,Low,wangwu,Algorithm,2024-03-02,2024-03-05,2024-03-05,1,performance,
BUG-112,算法卡顿,In Review,Critical,lisi,Gallery,2024-03-23,2024-03-26,,2,"functional,crash,hardware",
BUG-113,摄像头模糊,In Review,Blocker,zhaoliu,UI,2024-03-12,2024-03-14,,1,"functional,ui_bug,regression",
BUG-114,算法无声,Closed,Blocker,wangwu,Algorithm,2024-03-21,2024-03-24,,8,"performance,ui_bug",
BUG-115,视频崩溃,Open,High,wangwu,UI,2024-03-07,2024-03-08,,5,"crash,performance,regression",MP_Block
BUG-116,UI闪退,In Review,High,zhangsan,Gallery,2024-03-07,2024-03-09,,5,"hardware,regression",
BUG-117,UI模糊,Open,Blocker,chenni,UI,2024-03-01,2024-03-01,,1,"performance,crash",
BUG-118,算法闪退,Open,Blocker,zhangsan,Auth,2024-03-12,2024-03-12,,2,"ui_bug,functional,regression",
BUG-119,相册异常,Resolved,Medium,wangwu,Media,2024-03-23,2024-03-25,2024-03-28,1,"regression,ui_bug,performance",
BUG-120,录音无声,In Review,Low,zhangsan,Algorithm,2024-03-15,2024-03-18,,3,ui_bug,
BUG-121,UI卡顿,Closed,Blocker,wangwu,Media,2024-03-19,2024-03-22,,5,performance,
BUG-122,算法无声,In Progress,Critical,zhaoliu,Media,2024-03-04,2024-03-06,,1,functional,
BUG-123,算法无声,Closed,Low,wangwu,UI,2024-03-06,2024-03-06,2024-03-08,8,crash,
BUG-124,录音延迟,Resolved,Low,chenni,UI,2024-03-06,2024-03-07,2024-03-10,1,regression,
BUG-125,算法异常,Resolved,High,zhaoliu,UI,2024-03-11,2024-03-14,2024-03-14,8,performance,
BUG-126,摄像头闪退,In Progress,Critical,chenni,UI,2024-03-05,2024-03-05,,3,"regression,hardware",
BUG-127,相册无声,In Progress,Low,lisi,Audio,2024-03-24,2024-03-25,,5,"functional,crash",
BUG-128,摄像头延迟,Open,Medium,zhangsan,Camera,2024-03-18,2024-03-21,,8,"crash,regression,performance",
BUG-129,登录异常,In Review,Critical,chenni,Auth,2024-03-19,2024-03-20,,3,performance,
BUG-130,录音异常,Closed,High,zhaoliu,UI,2024-03-04,2024-03-05,2024-03-05,2,functional,
BUG-131,算法模糊,In Progress,High,lisi,UI,2024-03-15,2024-03-17,,8,"regression,crash,functional",
BUG-132,算法模糊,Open,Low,zhangsan,Audio,2024-03-05,2024-03-08,,3,"ui_bug,hardware",
BUG-133,算法卡顿,Resolved,Low,zhaoliu,UI,2024-03-16,2024-03-19,2024-03-23,1,hardware,
BUG-134,视频卡顿,In Progress,Medium,wangwu,Camera,2024-03-19,2024-03-19,,8,performance,
BUG-135,视频卡顿,Open,Medium,wangwu,UI,2024-03-25,2024-03-25,,8,performance,
BUG-136,视频延迟,In Progress,Blocker,chenni,Algorithm,2024-03-09,2024-03-12,,1,"performance,functional,hardware",
BUG-137,登录延迟,Resolved,Medium,lisi,Gallery,2024-03-17,2024-03-17,2024-03-17,5,"hardware,ui_bug",
BUG-138,算法模糊,Resolved,Medium,lisi,Gallery,2024-03-17,2024-03-19,2024-03-22,1,hardware,
BUG-139,相册异常,Resolved,Medium,zhaoliu,Gallery,2024-03-10,2024-03-13,2024-03-14,1,"crash,hardware",快稳省
BUG-140,UI闪退,In Progress,High,lisi,Gallery,2024-03-25,2024-03-27,,3,performance,
BUG-141,算法模糊,Open,High,wangwu,Camera,2024-03-20,2024-03-23,,8,"crash,hardware,ui_bug",
BUG-142,相册异常,Open,Low,wangwu,Gallery,2024-03-07,2024-03-09,,3,regression,
BUG-143,视频异常,Resolved,High,lisi,Algorithm,2024-03-01,2024-03-02,2024-03-04,5,"crash,hardware,regression",
BUG-144,相册模糊,In Progress,Critical,chenni,UI,2024-03-12,2024-03-12,,3,performance,MP_Block
BUG-145,算法延迟,In Progress,Critical,wangwu,Audio,2024-03-15,2024-03-17,,3,hardware,MP_Block
BUG-146,算法卡顿,Open,High,wangwu,Algorithm,2024-03-23,2024-03-23,,5,"ui_bug,functional,performance",
BUG-147,UI卡顿,Open,Critical,zhangsan,UI,2024-03-14,2024-03-17,,5,functional,
BUG-148,录音异常,Closed,High,zhangsan,Gallery,2024-03-15,2024-03-15,2024-03-19,1,"regression,ui_bug,functional",
BUG-149,相册延迟,Closed,Medium,wangwu,Gallery,2024-03-04,2024-03-07,2024-03-10,5,"performance,ui_bug,crash",
BUG-150,录音异常,In Review,Critical,zhangsan,UI,2024-03-01,2024-03-04,,1,"performance,regression",
BUG-151,UI崩溃,In Progress,Blocker,wangwu,Camera,2024-03-13,2024-03-14,,3,regression,
BUG-152,算法延迟,Closed,Critical,wangwu,Camera,2024-03-25,2024-03-28,,2,"crash,regression,functional",
BUG-153,录音闪退,In Progress,Medium,wangwu,Camera,2024-03-18,2024-03-18,,1,"hardware,performance",
BUG-154,录音崩溃,Open,Medium,wangwu,Camera,2024-03-17,2024-03-17,,2,regression,
BUG-155,算法异常,Open,Medium,wangwu,Camera,2024-03-22,2024-03-22,,5,"ui_bug,functional",
BUG-156,UI闪退,Open,Critical,zhangsan,Camera,2024-03-04,2024-03-07,,2,"ui_bug,performance,hardware",
BUG-157,相册延迟,Resolved,Low,lisi,Auth,2024-03-06,2024-03-06,2024-03-06,1,crash,
BUG-158,视频模糊,Closed,Medium,zhaoliu,Gallery,2024-03-18,2024-03-19,2024-03-24,2,"hardware,crash",快稳省
BUG-159,登录崩溃,In Review,High,wangwu,Auth,2024-03-05,2024-03-06,,3,performance,
BUG-160,视频异常,In Progress,Blocker,lisi,Auth,2024-03-23,2024-03-24,,2,"functional,crash,ui_bug",
BUG-161,视频无声,Resolved,Medium,wangwu,Audio,2024-03-13,2024-03-16,2024-03-20,5,functional,
BUG-162,视频延迟,Closed,High,lisi,Auth,2024-03-19,2024-03-19,2024-03-20,5,"hardware,ui_bug",
BUG-163,相册异常,In Review,Blocker,lisi,Audio,2024-03-21,2024-03-22,,2,"performance,hardware",
BUG-164,相册卡顿,In Review,Low,chenni,UI,2024-03-05,2024-03-06,,2,functional,
BUG-165,相册崩溃,In Review,Blocker,wangwu,Gallery,2024-03-03,2024-03-05,,2,"ui_bug,functional,regression",
BUG-166,算法闪退,Closed,Medium,wangwu,Gallery,2024-03-04,2024-03-07,2024-03-10,8,"functional,performance",
BUG-167,算法模糊,Resolved,Low,lisi,Camera,2024-03-03,2024-03-06,2024-03-11,2,"hardware,performance,functional",
BUG-168,相册无声,In Review,Medium,lisi,Algorithm,2024-03-22,2024-03-23,,3,"hardware,regression",
BUG-169,算法闪退,Closed,Medium,zhaoliu,Camera,2024-03-03,2024-03-03,2024-03-06,3,"functional,regression",
BUG-170,相册模糊,Closed,High,zhangsan,Audio,2024-03-03,2024-03-06,2024-03-10,2,"ui_bug,regression",
BUG-171,UI无声,Resolved,High,zhaoliu,Camera,2024-03-18,2024-03-20,2024-03-20,8,regression,
BUG-172,录音无声,Open,Critical,wangwu,Camera,2024-03-16,2024-03-18,,2,"crash,regression,functional",
BUG-173,算法异常,Open,Medium,zhangsan,Algorithm,2024-03-08,2024-03-11,,2,"ui_bug,functional",
BUG-174,录音卡顿,In Review,Medium,wangwu,Audio,2024-03-04,2024-03-05,,8,"functional,performance",
BUG-175,摄像头延迟,In Review,Blocker,zhaoliu,UI,2024-03-25,2024-03-27,,1,"performance,hardware,ui_bug",快稳省
BUG-176,算法闪退,In Review,High,chenni,UI,2024-03-25,2024-03-26,,8,"ui_bug,hardware",
BUG-177,摄像头闪退,Open,Low,zhaoliu,Camera,2024-03-21,2024-03-22,,1,"crash,functional,performance",
BUG-178,摄像头崩溃,Closed,Medium,zhaoliu,Gallery,2024-03-08,2024-03-08,2024-03-13,3,"functional,hardware",
BUG-179,相册崩溃,Resolved,Critical,zhangsan,Auth,2024-03-16,2024-03-19,2024-03-20,8,"functional,hardware",
BUG-180,登录延迟,Closed,Low,zhaoliu,UI,2024-03-05,2024-03-05,2024-03-06,8,hardware,MP_Block
BUG-181,登录卡顿,Closed,Critical,wangwu,Audio,2024-03-10,2024-03-13,,3,performance,
BUG-182,摄像头崩溃,Resolved,Low,wangwu,Camera,2024-03-20,2024-03-21,2024-03-24,3,"performance,functional",
BUG-183,UI卡顿,Open,Low,wangwu,Camera,2024-03-19,2024-03-22,,3,functional,
BUG-184,录音崩溃,Open,Blocker,wangwu,Auth,2024-03-12,2024-03-14,,1,"performance,regression",
BUG-185,视频崩溃,Resolved,Low,chenni,Auth,2024-03-07,2024-03-07,2024-03-10,2,"crash,functional",
BUG-186,视频崩溃,In Progress,Blocker,chenni,UI,2024-03-13,2024-03-13,,5,"hardware,crash",
BUG-187,视频异常,In Progress,Blocker,lisi,Audio,2024-03-09,2024-03-10,,2,regression,
BUG-188,UI卡顿,Closed,Low,zhaoliu,Media,2024-03-11,2024-03-11,2024-03-15,3,"ui_bug,crash",快稳省
BUG-189,视频闪退,In Progress,High,wangwu,Auth,2024-03-01,2024-03-03,,3,crash,MP_Block
BUG-190,录音无声,Resolved,Medium,wangwu,UI,2024-03-03,2024-03-06,2024-03-07,1,regression,
BUG-191,算法无声,Resolved,Medium,wangwu,Media,2024-03-11,2024-03-11,2024-03-13,3,ui_bug,MP_Block
BUG-192,摄像头崩溃,Resolved,Medium,lisi,Auth,2024-03-19,2024-03-21,2024-03-23,1,"hardware,performance,ui_bug",
BUG-193,视频闪退,Open,Low,wangwu,Audio,2024-03-24,2024-03-27,,5,"performance,crash",
BUG-194,摄像头异常,Resolved,High,wangwu,Media,2024-03-15,2024-03-18,2024-03-18,8,"performance,crash",MP_Block
BUG-195,登录延迟,In Review,Critical,wangwu,Camera,2024-03-25,2024-03-25,,8,"regression,ui_bug,functional",
BUG-196,相册卡顿,Open,Low,wangwu,Audio,2024-03-18,2024-03-20,,1,"regression,crash",
BUG-197,UI异常,Resolved,High,wangwu,Media,2024-03-11,2024-03-14,2024-03-18,1,"performance,crash",
BUG-198,摄像头延迟,Open,Critical,zhaoliu,Algorithm,2024-03-16,2024-03-19,,8,"ui_bug,functional,hardware",
BUG-199,视频无声,Resolved,Medium,zhaoliu,Camera,2024-03-05,2024-03-08,2024-03-10,8,"performance,ui_bug",
BUG-200,摄像头崩溃,Closed,Critical,wangwu,Audio,2024-03-13,2024-03-15,,3,"ui_bug,functional,performance",
